id,scrape_id,last_scraped,source,name,host_id,host_since,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,year
42932.0,20240629155744.0,2024-06-29,city scrape,"Charming apartment, Oslo Center, Ro",187463.0,2010-08-01,100.0,t,2.0,2.0,"['email', 'phone']",Frogner,59.91201,10.72455,Entire home/apt,3.0,2.0,3400.0,4.0,1000.0,0.0,1.0,22.0,297.0,52.0,2.0,1.0,f,2.0,2.0,0.0,0.0,2010
71725.0,20240629155744.0,2024-06-29,city scrape,Central big room - ap with balcony,368229.0,2011-01-30,67.0,f,1.0,1.0,"['email', 'phone']",Gamle Oslo,59.90795,10.77987,Private room,2.0,1.0,572.0,14.0,730.0,0.0,0.0,6.0,281.0,56.0,3.0,0.0,f,1.0,0.0,1.0,0.0,2011
85902.0,20240629155744.0,2024-06-29,city scrape,"Stylish design Apt, super central",250159.0,2010-10-01,96.0,t,3.0,3.0,"['email', 'phone', 'work_email']",Gamle Oslo,59.91074,10.77232,Entire home/apt,4.0,2.0,1929.0,3.0,21.0,9.0,10.0,10.0,26.0,79.0,5.0,0.0,f,2.0,1.0,1.0,0.0,2010
123041.0,20240629155744.0,2024-06-29,city scrape,"Cozy room in design apartment, central east side",250159.0,2010-10-01,96.0,t,3.0,3.0,"['email', 'phone', 'work_email']",Gamle Oslo,59.91253,10.77205,Private room,2.0,1.0,736.0,1.0,40.0,0.0,1.0,1.0,1.0,235.0,4.0,0.0,f,2.0,1.0,1.0,0.0,2010
149776.0,20240629155744.0,2024-06-30,city scrape,Bird's nest in the heart of Oslo,714768.0,2011-06-18,67.0,f,2.0,2.0,"['email', 'phone']",St. Hanshaugen,59.92398,10.74787,Private room,2.0,1.0,1029.0,5.0,365.0,28.0,58.0,88.0,363.0,43.0,0.0,0.0,f,2.0,0.0,2.0,0.0,2011
165218.0,20240629155744.0,2024-06-29,city scrape,"Bedroom, nice riverview, in Oslo",787976.0,2011-07-07,78.6,f,1.0,2.0,"['email', 'phone']",Sagene,59.9375,10.76554,Private room,2.0,1.0,600.0,2.0,30.0,5.0,14.0,14.0,14.0,21.0,0.0,0.0,t,1.0,0.0,1.0,0.0,2011
174372.0,20240629155744.0,2024-06-30,city scrape,New spacious central 2BR w/terrace,114189.0,2010-04-26,100.0,f,2.0,2.0,"['email', 'phone']",Sagene,59.93024,10.75964,Entire home/apt,6.0,5.0,9494.0,100.0,365.0,30.0,60.0,90.0,365.0,35.0,0.0,0.0,t,2.0,2.0,0.0,0.0,2010
256459.0,20240629155744.0,2024-06-29,city scrape,Apartment in seaside villa 12 min from city centre,1347737.0,2011-10-29,78.0,t,2.0,4.0,"['email', 'phone']",Nordstrand,59.84704,10.7778,Entire home/apt,6.0,2.0,1076.0,1.0,365.0,6.0,9.0,30.0,298.0,387.0,46.0,8.0,f,2.0,2.0,0.0,0.0,2011
275790.0,20240629155744.0,2024-06-29,city scrape,"Peaceful, central with balcony.",793479.0,2011-07-08,67.0,t,1.0,1.0,"['email', 'phone', 'work_email']",Sagene,59.93061,10.75375,Entire home/apt,2.0,1.0,1053.0,13.0,1125.0,11.0,16.0,31.0,298.0,21.0,6.0,0.0,f,1.0,1.0,0.0,0.0,2011
284644.0,20240629155744.0,2024-06-30,previous scrape,Central Room perfect for Solo Traveler,1324869.0,2011-10-23,100.0,f,1.0,1.0,"['email', 'phone']",Gamle Oslo,59.91826,10.76147,Private room,1.0,1.8,1516.6,3.0,7.0,0.0,0.0,0.0,0.0,104.0,4.0,4.0,f,1.0,0.0,1.0,0.0,2011
314213.0,20240629155744.0,2024-06-29,city scrape,"VERY CENTRAL, peaceful  in the heart of Oslo.",1614549.0,2012-01-16,94.0,t,3.0,3.0,"['email', 'phone']",Grünerløkka,59.92085,10.74995,Private room,1.0,1.0,571.0,5.0,365.0,0.0,12.0,42.0,317.0,126.0,10.0,1.0,f,2.0,0.0,2.0,0.0,2012
386879.0,20240629155744.0,2024-06-30,city scrape,OSLO'S NICEST APARTMENT WITH ROOF TERRACE,1935720.0,2012-03-16,68.6,f,1.0,1.0,"['email', 'phone']",St. Hanshaugen,59.92223,10.74946,Entire home/apt,4.0,2.0,1067.0,90.0,90.0,29.0,59.0,89.0,364.0,44.0,0.0,0.0,f,1.0,1.0,0.0,0.0,2012
397657.0,20240629155744.0,2024-06-29,city scrape,Charming apartment in central Oslo,1986686.0,2012-03-22,71.0,f,1.0,1.0,"['email', 'phone']",Grünerløkka,59.92634,10.75088,Entire home/apt,2.0,1.0,1000.0,3.0,30.0,0.0,0.0,0.0,15.0,21.0,4.0,0.0,f,1.0,1.0,0.0,0.0,2012
405953.0,20240629155744.0,2024-06-30,city scrape,Wonderful central loft apartment,2023264.0,2012-03-28,71.2,f,1.0,1.0,"['email', 'phone']",Grünerløkka,59.92009,10.76796,Entire home/apt,6.0,3.0,5000.0,4.0,21.0,29.0,42.0,42.0,282.0,8.0,0.0,0.0,f,1.0,1.0,0.0,0.0,2012
500008.0,20240629155744.0,2024-06-29,city scrape,"10 min to Oslo Central Station, Garden Fjord view",2381047.0,2012-05-15,0.0,f,1.0,3.0,"['email', 'phone']",Nordstrand,59.88523,10.76879,Entire home/apt,2.0,1.0,884.0,2.0,90.0,0.0,0.0,0.0,265.0,104.0,0.0,0.0,f,1.0,1.0,0.0,0.0,2012
503782.0,20240629155744.0,2024-06-30,city scrape,Central Grünerløkka,2484478.0,2012-05-28,100.0,t,1.0,1.0,"['email', 'phone']",Grünerløkka,59.92428,10.75828,Entire home/apt,4.0,3.0,1950.0,4.0,30.0,23.0,26.0,26.0,26.0,28.0,10.0,0.0,f,1.0,1.0,0.0,0.0,2012
590834.0,20240629155744.0,2024-06-29,city scrape,"Nice apartment, close to tram, bus and train",2914938.0,2012-07-12,100.0,f,1.0,1.0,"['email', 'phone']",Nordre Aker,59.96531,10.77889,Entire home/apt,2.0,1.0,740.0,30.0,200.0,30.0,60.0,64.0,321.0,8.0,1.0,0.0,f,1.0,1.0,0.0,0.0,2012
613873.0,20240629155744.0,2024-06-30,city scrape,Loft in a stable,1272535.0,2011-10-10,43.0,f,1.0,1.0,"['email', 'phone']",Grünerløkka,59.92132,10.75942,Entire home/apt,2.0,1.0,1600.0,1.0,1125.0,0.0,0.0,23.0,298.0,25.0,5.0,1.0,f,1.0,1.0,0.0,0.0,2011
634884.0,20240629155744.0,2024-06-30,previous scrape,"Central, Clean, Chic, Cozy & WIFI",3162475.0,2012-08-05,96.0,t,2.0,2.0,"['email', 'phone']",Gamle Oslo,59.91455638023083,10.763431436150334,Private room,2.0,1.8,1247.8,1.0,3.0,0.0,1.0,1.0,1.0,294.0,14.0,0.0,f,1.0,0.0,1.0,0.0,2012
724117.0,20240629155744.0,2024-06-29,city scrape,Central Oslo / St. Hanshaugen / Quiet / Cosy,2425978.0,2012-05-21,33.0,f,1.0,1.0,"['email', 'phone']",St. Hanshaugen,59.93254342773419,10.739992917771067,Entire home/apt,4.0,3.0,1700.0,2.0,30.0,12.0,15.0,15.0,195.0,2.0,2.0,0.0,f,1.0,1.0,0.0,0.0,2012
739069.0,20240629155744.0,2024-06-29,city scrape,Spacious New Central Designer Loft w terraces,3389744.0,2012-08-27,89.0,f,1.0,1.0,"['email', 'phone']",Sentrum,59.9112,10.74484,Private room,2.0,1.0,849.0,1.0,1125.0,0.0,0.0,0.0,23.0,14.0,8.0,4.0,f,1.0,0.0,1.0,0.0,2012
760266.0,20240629155744.0,2024-06-29,city scrape,In the heart of the city,3996622.0,2012-10-28,100.0,t,1.0,4.0,"['email', 'phone']",Gamle Oslo,59.912159,10.760248,Private room,2.0,1.0,843.0,1.0,3.0,17.0,47.0,77.0,352.0,910.0,102.0,10.0,t,1.0,0.0,1.0,0.0,2012
761018.0,20240629155744.0,2024-06-29,city scrape,Lovely bedroom in beautiful area.,4011871.0,2012-10-30,97.0,t,2.0,2.0,"['email', 'phone', 'work_email']",Frogner,59.91755,10.71428,Private room,2.0,1.0,500.0,2.0,10.0,4.0,10.0,31.0,117.0,1161.0,108.0,13.0,f,1.0,0.0,1.0,0.0,2012
773722.0,20240629155744.0,2024-06-30,city scrape,Oslo City Apt in the heart of Oslo,1386261.0,2011-11-08,91.0,f,4.0,8.0,"['email', 'phone']",Gamle Oslo,59.91318,10.76433,Entire home/apt,9.0,4.0,3307.0,1.0,365.0,18.0,43.0,73.0,348.0,112.0,15.0,2.0,f,3.0,3.0,0.0,0.0,2011
789864.0,20240629155744.0,2024-06-29,city scrape,"""Heart of Oslo"" by the Opera House.",3854740.0,2012-10-13,95.0,t,3.0,5.0,"['email', 'phone']",Gamle Oslo,59.90704,10.75752,Entire home/apt,2.0,1.0,1000.0,60.0,720.0,23.0,53.0,55.0,174.0,27.0,2.0,0.0,f,1.0,1.0,0.0,0.0,2012
869173.0,20240629155744.0,2024-06-29,city scrape,Bright 72 m2 apartment with amazing views,4578764.0,2013-01-03,100.0,f,1.0,1.0,"['email', 'phone']",St. Hanshaugen,59.92017,10.74694,Entire home/apt,2.0,1.0,1600.0,2.0,1125.0,27.0,53.0,83.0,358.0,16.0,3.0,0.0,f,1.0,1.0,0.0,0.0,2013
921279.0,20240629155744.0,2024-06-29,city scrape,"CENTRAL, IDYLLIC, BRIGHT 1 BRM APT",4515346.0,2012-12-28,100.0,t,1.0,2.0,"['email', 'phone']",St. Hanshaugen,59.92471,10.7375,Entire home/apt,3.0,1.0,629.0,31.0,1125.0,0.0,9.0,14.0,52.0,91.0,6.0,1.0,f,1.0,1.0,0.0,0.0,2012
977648.0,20240629155744.0,2024-06-29,city scrape,SEAFRONT MODERN LUXURY IN OSLO!,1933196.0,2012-03-16,91.0,t,1.0,1.0,"['email', 'phone']",Frogner,59.90625,10.7187,Entire home/apt,2.0,2.0,2776.0,2.0,1125.0,11.0,31.0,57.0,237.0,259.0,17.0,3.0,f,1.0,1.0,0.0,0.0,2012
981888.0,20240629155744.0,2024-06-29,city scrape,Cosy  room located at Majorstua,5377617.0,2013-03-08,0.0,f,2.0,5.0,"['email', 'phone']",Frogner,59.93164,10.71511,Private room,2.0,1.0,600.0,2.0,1125.0,29.0,59.0,89.0,364.0,10.0,0.0,0.0,f,2.0,1.0,1.0,0.0,2013
1010214.0,20240629155744.0,2024-06-30,city scrape,Spacious apartment in Grunnerløkka!,2202709.0,2012-04-23,80.0,t,2.0,3.0,"['email', 'phone']",Grünerløkka,59.91913986206055,10.759345054626465,Entire home/apt,2.0,1.0,1475.0,7.0,1120.0,0.0,0.0,0.0,271.0,83.0,3.0,1.0,f,1.0,1.0,0.0,0.0,2012
1036219.0,20240629155744.0,2024-06-29,city scrape,Oslo City Center - ENTIRE APARTMENT,5703901.0,2013-03-31,33.0,f,3.0,3.0,"['email', 'phone', 'work_email']",St. Hanshaugen,59.91905,10.74988,Entire home/apt,5.0,2.0,2190.0,2.0,500.0,1.0,3.0,15.0,223.0,41.0,3.0,1.0,f,2.0,1.0,1.0,0.0,2013
1083432.0,20240629155744.0,2024-06-29,city scrape,Kidsfriendly and very central,5956740.0,2013-04-16,100.0,t,1.0,1.0,"['email', 'phone']",Frogner,59.9145200446391,10.725580700409648,Entire home/apt,4.0,2.0,1690.0,3.0,30.0,23.0,35.0,47.0,50.0,109.0,17.0,3.0,f,1.0,1.0,0.0,0.0,2013
1134022.0,20240629155744.0,2024-06-29,city scrape,"Sjarmerende hus - sentralt, stor privat hage",6220833.0,2013-05-04,0.0,f,1.0,1.0,"['email', 'phone']",Nordre Aker,59.94158,10.73148,Entire home/apt,6.0,3.0,5650.0,7.0,1125.0,0.0,0.0,0.0,148.0,6.0,1.0,0.0,f,1.0,1.0,0.0,0.0,2013
1226982.0,20240629155744.0,2024-06-30,previous scrape,Most exciting area in Oslo (modern/new building),15921981.0,2014-05-24,70.0,f,1.0,1.0,"['email', 'phone']",St. Hanshaugen,59.91756,10.75312,Entire home/apt,4.0,1.0,1707.4,1.0,1125.0,0.0,0.0,0.0,0.0,295.0,31.0,0.0,t,1.0,1.0,0.0,0.0,2014
1231033.0,20240629155744.0,2024-06-29,city scrape,Idyllic villa 5km from the center,6713243.0,2013-06-03,29.0,f,1.0,2.0,"['email', 'phone']",Nordre Aker,59.96705,10.76354,Entire home/apt,10.0,5.0,2800.0,4.0,1125.0,4.0,4.0,4.0,4.0,20.0,2.0,0.0,f,1.0,1.0,0.0,0.0,2013
1239012.0,20240629155744.0,2024-06-29,city scrape,Central! Four streets behind The Royal Palace!,6751091.0,2013-06-05,77.0,t,2.0,2.0,"['email', 'phone']",Frogner,59.91559,10.71634,Entire home/apt,1.0,1.0,1017.0,3.0,1125.0,0.0,0.0,7.0,193.0,9.0,0.0,0.0,f,2.0,2.0,0.0,0.0,2013
1239077.0,20240629155744.0,2024-06-29,city scrape,"Best area! Penthouse w sunny terrace, very central",6751091.0,2013-06-05,77.0,t,2.0,2.0,"['email', 'phone']",Frogner,59.91635,10.71693,Entire home/apt,3.0,2.0,2200.0,3.0,1125.0,26.0,53.0,83.0,358.0,26.0,4.0,2.0,f,2.0,2.0,0.0,0.0,2013
1250723.0,20240629155744.0,2024-06-29,city scrape,"Down town, by the central station",1616331.0,2012-01-17,100.0,t,1.0,3.0,"['email', 'phone']",Grünerløkka,59.91753,10.7548,Private room,1.0,1.0,820.0,1.0,1125.0,7.0,8.0,34.0,309.0,656.0,26.0,2.0,f,1.0,0.0,1.0,0.0,2012
1281274.0,20240629155744.0,2024-06-29,city scrape,Comfortable flat in central villa,2793327.0,2012-07-01,83.0,f,3.0,4.0,"['email', 'phone']",Vestre Aker,59.93698,10.70096,Entire home/apt,4.0,2.0,1100.0,21.0,40.0,2.0,5.0,32.0,212.0,3.0,2.0,1.0,f,1.0,1.0,0.0,0.0,2012
1283780.0,20240629155744.0,2024-06-30,city scrape,Beautiful apartment in Grünerløkka,6480437.0,2013-05-20,73.0,f,1.0,4.0,"['email', 'phone']",Grünerløkka,59.92511,10.76058,Entire home/apt,3.0,2.0,1200.0,2.0,10.0,0.0,1.0,2.0,80.0,66.0,5.0,2.0,f,1.0,1.0,0.0,0.0,2013
1307404.0,20240629155744.0,2024-06-30,city scrape,"Spacious & central, superb kitchen!",7063146.0,2013-06-23,0.0,f,1.0,1.0,"['email', 'phone']",Gamle Oslo,59.91561,10.7741,Entire home/apt,3.0,2.0,1200.0,3.0,1125.0,29.0,56.0,86.0,358.0,19.0,2.0,0.0,f,1.0,1.0,0.0,0.0,2013
1310319.0,20240629155744.0,2024-06-29,city scrape,Stylish flat in the embassy area,7121844.0,2013-06-26,100.0,t,2.0,2.0,"['email', 'phone', 'work_email']",Frogner,59.91951,10.70458,Private room,2.0,1.0,900.0,1.0,60.0,17.0,41.0,71.0,346.0,553.0,49.0,0.0,t,2.0,0.0,2.0,0.0,2013
