id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42932,"Charming apartment, Oslo Center, Ro",187463,Cecilie,,Frogner,59.91201,10.72455,Entire home/apt,3400,4,52,2024-06-15,0.39,2,297,2,
71725,Central big room - ap with balcony,368229,Reidun,,Gamle Oslo,59.90795,10.77987,Private room,572,14,56,2024-05-15,0.34,1,281,3,
85902,"Stylish design Apt, super central",250159,Melissa,,Gamle Oslo,59.91074,10.77232,Entire home/apt,1929,3,79,2024-01-23,0.50,2,26,5,
123041,"Cozy room in design apartment, central east side",250159,Melissa,,Gamle Oslo,59.91253,10.77205,Private room,736,1,235,2023-09-27,1.48,2,1,4,
149776,Bird's nest in the heart of Oslo,714768,Henrik,,St. Hanshaugen,59.92398,10.74787,Private room,1029,5,43,2023-04-23,0.27,2,363,0,
165218,"Bedroom, nice riverview, in Oslo",787976,Jon,,Sagene,59.9375,10.76554,Private room,600,2,21,2022-08-27,0.13,1,14,0,
174372,New spacious central 2BR w/terrace,114189,Christina,,Sagene,59.93024,10.75964,Entire home/apt,9494,100,35,2014-10-26,0.22,2,365,0,
256459,Apartment in seaside villa 12 min from city centre,1347737,Kåre & Truls,,Nordstrand,59.84704,10.7778,Entire home/apt,1076,1,387,2024-06-27,2.71,2,298,46,
275790,"Peaceful, central with balcony.",793479,Espen,,Sagene,59.93061,10.75375,Entire home/apt,1053,13,21,2024-05-12,0.14,1,298,6,
284644,Central Room perfect for Solo Traveler,1324869,Bente,,Gamle Oslo,59.91826,10.76147,Private room,,3,104,2024-06-27,0.71,1,0,4,
314213,"VERY CENTRAL, peaceful  in the heart of Oslo.",1614549,Peter Piotr,,Grünerløkka,59.92085,10.74995,Private room,571,5,126,2024-06-21,0.84,2,317,10,
386879,OSLO'S NICEST APARTMENT WITH ROOF TERRACE,1935720,Ida,,St. Hanshaugen,59.92223,10.74946,Entire home/apt,1067,90,44,2018-12-15,0.30,1,364,0,
397657,Charming apartment in central Oslo,1986686,Hanne,,Grünerløkka,59.92634,10.75088,Entire home/apt,1000,3,21,2024-05-20,0.19,1,15,4,
405953,Wonderful central loft apartment,2023264,Marius,,Grünerløkka,59.92009,10.76796,Entire home/apt,5000,4,8,2022-07-21,0.09,1,282,0,
500008,"10 min to Oslo Central Station, Garden Fjord view",2381047,Volkolas,,Nordstrand,59.88523,10.76879,Entire home/apt,884,2,104,2019-11-08,0.72,1,265,0,
503782,Central Grünerløkka,2484478,Jarle,,Grünerløkka,59.92428,10.75828,Entire home/apt,1950,4,28,2023-09-24,0.21,1,26,10,
590834,"Nice apartment, close to tram, bus and train",2914938,Bent,,Nordre Aker,59.96531,10.77889,Entire home/apt,740,30,8,2023-12-23,0.06,1,321,1,
613873,Loft in a stable,1272535,Elin Killie,,Grünerløkka,59.92132,10.75942,Entire home/apt,1600,1,25,2024-06-16,0.19,1,298,5,
634884,"Central, Clean, Chic, Cozy & WIFI",3162475,Merete,,Gamle Oslo,59.91455638023083,10.763431436150334,Private room,,1,294,2023-10-21,2.03,1,1,14,
724117,Central Oslo / St. Hanshaugen / Quiet / Cosy,2425978,Kjersti,,St. Hanshaugen,59.93254342773419,10.739992917771069,Entire home/apt,1700,2,2,2023-12-27,0.19,1,195,2,
739069,Spacious New Central Designer Loft w terraces,3389744,Christian,,Sentrum,59.9112,10.74484,Private room,849,1,14,2024-06-27,0.10,1,23,8,
760266,In the heart of the city,3996622,Per Martin,,Gamle Oslo,59.912159,10.760248,Private room,843,1,910,2024-06-20,6.48,1,352,102,
761018,Lovely bedroom in beautiful area.,4011871,Mona Johanne,,Frogner,59.91755,10.71428,Private room,500,2,1161,2024-06-25,8.26,1,117,108,
773722,Oslo City Apt in the heart of Oslo,1386261,Gangadai,,Gamle Oslo,59.91318,10.76433,Entire home/apt,3307,1,112,2024-06-16,0.79,3,348,15,
789864,"""Heart of Oslo"" by the Opera House.",3854740,Torbjørn,,Gamle Oslo,59.90704,10.75752,Entire home/apt,1000,60,27,2024-05-28,0.20,1,174,2,
869173,Bright 72 m2 apartment with amazing views,4578764,Tove,,St. Hanshaugen,59.92017,10.74694,Entire home/apt,1600,2,16,2023-09-24,0.14,1,358,3,
921279,"CENTRAL, IDYLLIC, BRIGHT 1 BRM APT",4515346,Arild & Trine,,St. Hanshaugen,59.92471,10.7375,Entire home/apt,629,31,91,2024-06-21,0.66,1,52,6,
977648,SEAFRONT MODERN LUXURY IN OSLO!,1933196,Nils,,Frogner,59.90625,10.7187,Entire home/apt,2776,2,259,2024-06-12,1.90,1,237,17,
981888,Cosy  room located at Majorstua,5377617,Stian,,Frogner,59.93164,10.71511,Private room,600,2,10,2023-05-03,0.08,2,364,0,
1010214,Spacious apartment in Grunnerløkka!,2202709,Sangeeta,,Grünerløkka,59.91913986206055,10.759345054626465,Entire home/apt,1475,7,83,2024-06-09,0.61,1,271,3,
1036219,Oslo City Center - ENTIRE APARTMENT,5703901,John Richard And Hilde,,St. Hanshaugen,59.91905,10.74988,Entire home/apt,2190,2,41,2024-06-15,0.34,2,223,3,
1083432,Kidsfriendly and very central,5956740,Mari + David,,Frogner,59.9145200446391,10.725580700409648,Entire home/apt,1690,3,109,2024-06-21,0.99,1,50,17,
1134022,"Sjarmerende hus - sentralt, stor privat hage",6220833,Ole,,Nordre Aker,59.94158,10.73148,Entire home/apt,5650,7,6,2023-07-03,0.05,1,148,1,
1226982,Most exciting area in Oslo (modern/new building),15921981,William,,St. Hanshaugen,59.91756,10.75312,Entire home/apt,,1,295,2024-05-13,3.61,1,0,31,
1231033,Idyllic villa 5km from the center,6713243,Andreas,,Nordre Aker,59.96705,10.76354,Entire home/apt,2800,4,20,2023-07-31,0.15,1,4,2,
1239012,Central! Four streets behind The Royal Palace!,6751091,Rune,,Frogner,59.91559,10.71634,Entire home/apt,1017,3,9,2022-10-21,0.25,2,193,0,
1239077,"Best area! Penthouse w sunny terrace, very central",6751091,Rune,,Frogner,59.91635,10.71693,Entire home/apt,2200,3,26,2024-06-27,0.36,2,358,4,
1250723,"Down town, by the central station",1616331,Anita,,Grünerløkka,59.91753,10.7548,Private room,820,1,656,2024-06-29,4.89,1,309,26,
1281274,Comfortable flat in central villa,2793327,Rein,,Vestre Aker,59.93698,10.70096,Entire home/apt,1100,21,3,2024-06-12,0.06,1,212,2,
1283780,Beautiful apartment in Grünerløkka,6480437,Gry,,Grünerløkka,59.92511,10.76058,Entire home/apt,1200,2,66,2024-06-19,0.50,1,80,5,
1307404,"Spacious & central, superb kitchen!",7063146,Anja,,Gamle Oslo,59.91561,10.7741,Entire home/apt,1200,3,19,2023-08-13,0.14,1,358,2,
1310319,Stylish flat in the embassy area,7121844,Line K.,,Frogner,59.91951,10.70458,Private room,900,1,553,2024-01-30,4.18,2,346,49,
